49 westland row	1	said	proverb
31 westland row	1	said	proverb
pearse street	1	said	proverb
cumberland street	1	said	proverb
153 pearse street	1	said	proverb
the coombe	1	said	proverb
46 westland row	1	said	proverb
1 lincoln place	1	said	proverb
11 leinster street	1	said	proverb
arbour hill	1	said	proverb
ringsend road	1	said	proverb
hume street	1	said	proverb
nelson's pillar	1	said	proverb
rutland grove	1	said	proverb
blessington street	1	said	proverb
berkely street	1	said	proverb
eccles street	1	said	proverb
phibsborough road	1	said	proverb
finglas road	1	said	proverb
mountjoy square	1	said	proverb
fitzgibbon street	1	said	proverb
north circular road	1	said	proverb
n. strand road	1	said	proverb
newcomen bridge	1	said	proverb
annesley bridge	1	said	proverb
howth road	1	said	proverb
malahide road	1	said	proverb
dorset street lower	1	said	proverb
clongowes fields	1	said	proverb
grafton street	1	said	proverb
college green	1	said	proverb
8 ormond quay upper	1	said	proverb
crampton court	1	said	proverb
sycamore street	1	said	proverb
jervis street	1	said	proverb
essex street east	1	said	proverb
merchant's arch	1	said	proverb
wellington quay	1	said	proverb
42 camden street lower	1	said	proverb
25 bachelor's walk	1	said	proverb
dame street	1	said	proverb
o'connell bridge	1	said	proverb
watling street	1	said	proverb
27 bachelor's walk	1	said	proverb
31 dame street	1	said	proverb
island street	1	said	proverb
fleet street	1	said	proverb
bedford row	1	said	proverb
ormond quay lower	1	said	proverb
mary's abbey	1	said	proverb
christchurch place	1	said	proverb
lord edward street	1	said	proverb
cork hill	1	said	proverb
parliament street	1	said	proverb
